backdoor,avg,max,min,variance,std_dev
0,0.8846666666666667,0.8846666666666667,0.8846666666666667,0.0,0.0
1,0.8838333333333332,0.8838333333333332,0.8838333333333332,0.0,0.0
2,0.8835,0.8835000000000001,0.8835000000000001,1.232595164407831e-32,1.1102230246251565e-16
3,0.8816666666666666,0.8816666666666666,0.8816666666666666,0.0,0.0
4,0.8821666666666665,0.8821666666666665,0.8821666666666665,0.0,0.0
5,0.8825833333333334,0.8830000000000002,0.8821666666666665,1.736111111112579e-07,0.0004166666666668428
6,0.8801666666666665,0.8801666666666665,0.8801666666666665,0.0,0.0
7,0.881,0.881,0.881,0.0,0.0
8,0.8804999999999998,0.8805,0.8805,1.232595164407831e-32,1.1102230246251565e-16
9,0.8786666666666667,0.8786666666666667,0.8786666666666667,0.0,0.0
10,0.8783333333333332,0.8783333333333333,0.8783333333333333,1.232595164407831e-32,1.1102230246251565e-16
11,0.8783333333333332,0.8783333333333333,0.8783333333333333,1.232595164407831e-32,1.1102230246251565e-16
12,0.8786666666666667,0.8786666666666667,0.8786666666666667,0.0,0.0
13,0.8785000000000001,0.8785000000000002,0.8785000000000002,1.232595164407831e-32,1.1102230246251565e-16
14,0.8783333333333332,0.8783333333333333,0.8783333333333333,1.232595164407831e-32,1.1102230246251565e-16
15,0.8778333333333332,0.8778333333333332,0.8778333333333332,0.0,0.0
16,0.8773333333333333,0.8773333333333333,0.8773333333333333,0.0,0.0
17,0.877,0.877,0.877,0.0,0.0
18,0.8746666666666669,0.8746666666666668,0.8746666666666668,1.232595164407831e-32,1.1102230246251565e-16
19,0.8748333333333331,0.8748333333333331,0.8748333333333331,0.0,0.0
20,0.873833333333333,0.8738333333333331,0.8738333333333331,1.232595164407831e-32,1.1102230246251565e-16
21,0.8735333333333333,0.874,0.8728333333333333,3.2666666666665683e-07,0.0005715476066493996
22,0.8723333333333334,0.8723333333333333,0.8723333333333333,1.232595164407831e-32,1.1102230246251565e-16
23,0.8725000000000003,0.8725000000000002,0.8725000000000002,1.232595164407831e-32,1.1102230246251565e-16
24,0.8721666666666668,0.8721666666666668,0.8721666666666668,0.0,0.0
25,0.8712666666666667,0.8713333333333333,0.8711666666666666,6.666666666665199e-09,8.164965809276362e-05
26,0.8691666666666666,0.8691666666666666,0.8691666666666666,0.0,0.0
27,0.8683333333333334,0.8683333333333335,0.8683333333333335,1.232595164407831e-32,1.1102230246251565e-16
28,0.8670666666666665,0.8671666666666666,0.867,6.666666666665199e-09,8.164965809276362e-05
29,0.8667166666666668,0.8673333333333334,0.8651666666666668,8.891666666666626e-07,0.0009429563439877069
30,0.8649333333333334,0.8658333333333333,0.8636666666666667,8.34444444444402e-07,0.0009134793070696249
31,0.8617999999999999,0.8618333333333332,0.8614999999999998,1.0000000000004459e-08,0.0001000000000000223
32,0.8615666666666668,0.8646666666666667,0.8593333333333334,5.7511111111107445e-06,0.00239814743314725
33,0.8615999999999999,0.8641666666666665,0.8596666666666668,2.4511111111108007e-06,0.0015656024754422179
34,0.8609833333333334,0.8611666666666666,0.8608333333333335,1.361111111109812e-08,0.00011666666666661099
35,0.8605500000000001,0.8606666666666667,0.8605,5.833333333332047e-09,7.637626158258891e-05
36,0.8602833333333333,0.8605,0.86,3.361111111112147e-08,0.0001833333333333616
37,0.8594999999999999,0.8594999999999999,0.8594999999999999,0.0,0.0
38,0.8583000000000001,0.8583333333333334,0.8581666666666667,4.444444444443466e-09,6.666666666665932e-05
39,0.8583000000000001,0.8583333333333334,0.8581666666666667,4.444444444443465e-09,6.666666666665932e-05
40,0.8584833333333334,0.8586666666666666,0.8583333333333334,1.361111111109812e-08,0.00011666666666661099
41,0.8576833333333334,0.8578333333333333,0.8576666666666666,2.5000000000027806e-09,5.0000000000027805e-05
42,0.8561500000000001,0.8561666666666667,0.8560000000000001,2.4999999999964887e-09,4.999999999996489e-05
43,0.8555333333333334,0.8556666666666667,0.8554999999999999,4.444444444449387e-09,6.666666666670374e-05
44,0.8539333333333333,0.8541666666666666,0.8538333333333332,1.222222222222471e-08,0.00011055415967852458
